date,message
2024-02-18 06:12:40,"Xiaomi - Internship
Role: Performance Testing Intern
Qualifications: Bachelor’s/ Master's Degree
Salary: 30K Per Month (Expected) 
Batch: Recent Batches
Experience: Freshers
Location: Bangalore, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/18/xiaomi-is-hiring-for-performance-testing-intern-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-18 04:40:46,"EY is hiring Business Analyst!
Qualification: Bachelor's/ Master's Degree
Salary: 5 - 9 LPA (Expected)
Experienc﻿e: Freshers (0 - 1 Years)
Location: Pune, Mumbai, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/18/ey-is-hiring-for-analyst-business-consulting-apply-now-2/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-17 14:31:57,"Hike - Work From Home
Position: Business Analyst
Qualification: Bachelor’s/ Master’s Degree
Salary: 7 - 12 LPA (Expected)
Experienc﻿e: Freshers/ Experienced
Location: Work From Home (Remote)

📌Apply Now: https://merademyjobs.com/index.php/2024/02/17/hike-is-hiring-for-business-analyst-remote-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-17 12:46:18,"Amazon is hiring Freshers!
Position: Trainee
Qualifications: Graduate/ Diploma/ 12th Pass
Batch: 2022/ 2023/ 2024
Experience: Freshers
Location: Mumbai, India
﻿
📌Apply Now: https://merademyjobs.com/index.php/2024/02/17/amazon-is-hiring-for-dco-trainee-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-17 10:45:23,"IBM is hiring Data Engineer!
Qualifications: Bachelor’s/ Master’s Degree
Salary: 6.8 - 11 LPA (Expected)
Experience: Freshers/ Experienced
Location: Mumbai, Pune, Gurgaon, Kolkata, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/17/ibm-is-hiring-for-data-engineer-apply-now-4/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-17 07:44:56,"Revolut - Work From Home!
Position: People Specialist (Payroll)
Qualifications: Any Graduate
Experience: Freshers/ Experienced
Salary: 5.2 - 8 LPA (Expected)
Location: Work From Home (Remote)

📌Apply Now: https://merademyjobs.com/index.php/2024/02/17/revolut-is-hiring-for-people-specialist-payroll-work-from-home-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-17 05:46:03,"CRISIL is hiring!
Position: Data Analyst  
Qualification: Bachelor’s Degree
Salary: 8 LPA (Expected)
Experienc﻿e: 1 - 4 (Years)
Location: Bangalore/ Chennai/ Mumbai/ Pune

📌Apply Now: https://merademyjobs.com/index.php/2024/02/17/crisil-is-hiring-for-data-analyst-remote-apply-now/ 

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-17 03:43:21,"Cognizant is hiring!
Position: Software Engineer Associate
Qualification: Bachelor's/ Master's Degree
Salary: 5 - 9 LPA (Expected)
Experience: Freshers/ Experienced
Location: Chennai, Hyderabad, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/17/cognizant-is-hiring-for-software-engineer-associate-apply-now-2/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 16:31:00,"Accenture is hiring Analyst!
Qualification: MBA/ CMA/ CA
Salary: 7.5 LPA (Expected)
Batch: Recent Batches
Experienc﻿e: Freshers/ Experienced
Location: Bengaluru/ Gurgaon/ Pun﻿e/ Mumbai/ Kolka﻿ta

📌Apply Now: https://merademyjobs.com/index.php/2024/02/16/accenture-is-hiring-for-cts-analyst-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 14:51:47,"inFeedo - Work From Home
Position: Content & Event Marketing Intern
Qualifications: Any Graduate
Salary: 30K - 43K Per Month (Expected)
Experience: 6 - 12 (Months)
Location: Work From Home (Remote)

📌Apply Link: https://merademyjobs.com/index.php/2024/02/16/infeedo-is-hiring-for-content-event-marketing-intern-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 12:54:56,"Synopsys is hiring!
Position: R&D Engineer
Qualifications: BE/ B.Tech/ ME/ M.Tech/ MCA
Salary: 8 - 13 LPA (Expected)
Experience: Freshers (0 - 2 Years)
Location: Bangalore, Noida, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/16/synopsys-is-hiring-for-rd-engineer-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 10:47:32,"Sportskeeda - Work From Home!
Position: Data Analyst Intern
Qualifications: Bachelor's/ Master's Degree
Batch: Recent Batches
Experience: Freshers/ Experienced
Location: Remote (Work From Home)

📌Apply Now: https://merademyjobs.com/index.php/2024/02/16/sportskeeda-is-hiring-for-data-analyst-intern-remote-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 08:45:05,"Infosys is hiring!
Position: Junior Accountant
Qualification: Graduate Degree/ B.Com/ BBA
Salary: 30K - 37K Per Month (Expected)
Experienc﻿e: Freshers (0 - 1 Years)
Location: Bangalore/ Hyderabad

📌Apply Now: https://merademyjobs.com/index.php/2024/02/16/infosys-is-hiring-for-junior-accountant-freshers-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 05:56:02,"Amdocs is hiring!
Position: Business Analyst
Qualification: Bachelor's/ Master’s Degree
Salary: 6 - 8 LPA (Expected)
Experienc﻿e: Freshers/ Experienced
Location: Pune, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/16/amdocs-is-hiring-for-business-analyst-apply-now-2/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
2024-02-16 04:01:10,"Eurofins is hiring!
Position: Associate Software Engineer - Java Developer
Qualifications: Bachelor's/ Master’s Degree
Salary: 8.7 LPA (Expected)
Batch: Recent Batches
Experience: Freshers (0 - 1 Years)
Location: Bangalore, India

📌Apply Now: https://merademyjobs.com/index.php/2024/02/16/eurofins-is-hiring-for-associate-software-engineer-java-developer-apply-now/

👉WhatsApp Channel: https://whatsapp.com/channel/0029Va4NcE0Bvvsi4obUbS0s

👉Telegram Link: https://telegram.dog/merademy"
